Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
206673322,"Lost and Lassoed (Rebel Blue Ranch, #3)",Lyla Sage,"Sage, Lyla",,"=""1529436729""","=""9781529436723""",5,4.21,Quercus,Kindle Edition,368,2024,2024,2025/04/13,2025/02/18,,,read,,,,1,0
212808709,Deep End,Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",4,3.93,Berkley,Kindle Edition,464,2025,2025,2025/04/03,2025/04/02,,,read,,,,1,0
58176118,Carnage Island (Reject Island),Lexi C. Foss,"Foss, Lexi C.",,"=""1954183437""","=""9781954183438""",0,4.14,Ninja Newt Publishing,Kindle Edition,393,2021,2021,,2025/03/21,to-read,to-read (#31),to-read,,,,0,0
59411151,"The Piece That Fits (Offstage, #1)",N.J.  Gray,"Gray, N.J.",,"=""""","=""""",3,3.88,,Kindle Edition,288,2021,2021,2025/03/13,2025/03/15,,,read,,,,1,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",0,4.22,Red Tower Books,Hardcover,527,2025,2025,2025/02/26,2024/07/12,,,read,,,,1,0
195532965,"Swift and Saddled (Rebel Blue Ranch, #2)",Lyla Sage,"Sage, Lyla",,"=""059373243X""","=""9780593732434""",5,3.92,Dial Press Trade Paperback,Paperback,320,2024,2024,2025/02/18,2025/02/15,,,read,,,,1,0
123179008,"Done and Dusted (Rebel Blue Ranch, #1)",Lyla Sage,"Sage, Lyla",,"=""""","=""9798987781302""",3,3.83,Lyla Sage,Kindle Edition,356,2023,2023,2025/02/15,2024/08/14,,,read,,,,1,0
123852869,"Morning Glory Milking Farm (Cambric Creek, #1)",C.M. Nascosta,"Nascosta, C.M.",,"=""1736546619""","=""9781736546611""",4,3.68,Meduas Editoriale,Paperback,247,2021,2021,2025/02/08,2025/02/06,,,read,"I didn’t think minotaurs could be sexy, but here we are. <br/><br/>Read this book in a day so I was clearly invested ",,,1,0
53286911,"Beneath the Stars (Sugarlake, #1)",Emily McIntire,"McIntire, Emily",,"=""""","=""""",2,3.92,,ebook,408,2020,2020,,2025/02/06,,,read,,,,1,0
146398645,Pay-Per-Heart,Grace McGinty,"McGinty, Grace",,"=""""","=""""",0,4.04,,Kindle Edition,347,2023,2023,,2025/02/06,to-read,to-read (#30),to-read,,,,0,0
216475536,Pounded by Produce,G.M. Fairy,"Fairy, G.M.",,"=""""","=""9798991447034""",0,3.68,G.M. Fairy Books,Kindle Edition,203,2025,,,2025/02/06,to-read,to-read (#29),to-read,,,,0,0
85164835,"Nero (Alliance, #1)",S.J. Tilly,"Tilly, S.J.",,"=""""","=""""",4,3.84,,Kindle Edition,368,2023,2023,2025/02/01,2025/02/05,,,read,,,,1,0
214037675,"Wyatt (Lucky River Ranch, #2)",Jessica  Peterson,"Peterson, Jessica",,"=""""","=""""",5,4.05,,Kindle Edition,362,2024,2024,2025/01/25,2025/01/25,,,read,,,,1,0
216734941,"Cash (Lucky River Ranch, #1)",Jessica  Peterson,"Peterson, Jessica",,"=""""","=""""",5,4.08,,Paperback,423,2024,2024,2025/01/21,2025/01/18,,,read,"Yeehaw and pass the sweet tea!! Loved everything about this book, and the communication between the main characters was flawless! ",,,1,0
75572114,"Latte Darling (Darling, #2)",S.J. Tilly,"Tilly, S.J.",,"=""""","=""""",4,4.11,,Kindle Edition,388,2023,2022,2025/01/18,2024/12/20,,,read,,,,1,0
75572077,"Smoky Darling (Darling, #1)",S.J. Tilly,"Tilly, S.J.",,"=""""","=""""",3,3.96,Amazon,Kindle Edition,350,2023,,2025/01/16,2025/01/16,,,read,,,,1,0
204538483,"The Striker (Gods of the Game, #1)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,3.77,,Kindle Edition,595,2024,2024,,2025/01/10,to-read,to-read (#28),to-read,,,,0,0
53784985,Snowed In,Navessa Allen,"Allen, Navessa",,"=""0463059948""","=""9780463059944""",0,3.90,,Kindle Edition,336,2020,,2025/01/10,2025/01/06,dnf,dnf (#2),read,,,,1,0
123194693,"Pucking Around (Jacksonville Rays, #1)",Emily Rath,"Rath, Emily",,"=""""","=""9798987793312""",0,3.77,Emily Rath Books,Kindle Edition,756,2023,2023,,2025/01/10,currently-reading,currently-reading (#1),currently-reading,,,,1,0
123194683,"That One Night (Jacksonville Rays, #0.5)",Emily Rath,"Rath, Emily",,"=""""","=""""",3,4.07,Emily Rath Books,Kindle Edition,124,2023,,2025/01/10,2025/01/10,,,read,,,,1,0
56552407,"Reborn (Shadow Beast Shifter, #3)",Jaymin Eve,"Eve, Jaymin",,"=""""","=""""",3,4.28,,Kindle Edition,440,2021,2021,2025/01/04,2025/01/01,,,read,,,,1,0
217562358,"Caught Up (Into Darkness, #2)",Navessa Allen,"Allen, Navessa",,"=""1529442443""","=""9781529442441""",0,4.26,Quercus,Kindle Edition,326,2025,2025,,2025/01/06,to-read,to-read (#27),to-read,,,,0,0
201017011,"Lights Out (Into Darkness, #1)",Navessa Allen,"Allen, Navessa",,"=""""","=""""",4,4.16,,Kindle Edition,338,2024,2024,2025/01/06,2025/01/06,,,read,,,,1,0
56220780,"Reclaimed (Shadow Beast Shifters, #2)",Jaymin Eve,"Eve, Jaymin",,"=""""","=""""",4,4.34,Amazon Digital Services,Kindle Edition,386,2021,2021,2024/12/31,2024/12/25,,,read,,,,1,0
55189382,"Rejected (Shadow Beast Shifters, #1)",Jaymin Eve,"Eve, Jaymin",,"=""""","=""""",4,4.16,,Kindle Edition,399,2020,2020,2024/12/25,2024/12/13,,,read,,,,1,0
59046399,"The Tyrant Alpha's Rejected Mate (Five Packs, #1)",Cate C. Wells,"Wells, Cate C.",,"=""""","=""""",0,3.83,,Kindle Edition,382,2021,2021,,2024/12/20,to-read,to-read (#26),to-read,,,,0,0
94577013,"Take My Daddy, I'll Take Yours",Jenika Snow,"Snow, Jenika",,"=""""","=""""",3,3.56,Jenika Snow,Kindle Edition,140,2023,2023,2024/12/13,2024/12/16,,,read,,,,1,0
62322599,"Highest Bidder (Salacious Players Club, #5)",Sara Cate,"Cate, Sara",,"=""""","=""""",4,4.03,,Kindle Edition,336,2023,2023,2024/12/10,2024/12/16,,,read,,,,1,0
125310117,The Perfect Fit,Sadie Kincaid,"Kincaid, Sadie",,"=""1915663334""","=""9781915663337""",0,4.09,Red House Press,Kindle Edition,420,2023,2023,,2024/12/13,to-read,to-read (#25),to-read,,,,0,0
209994498,Don't Call Me Daddy (Ashford Falls #1),Jeré Anthony,"Anthony, Jeré",,"=""""","=""""",0,3.95,,Kindle Edition,470,2024,,2024/11/25,2024/11/13,,,read,,,,1,0
61767292,"Icebreaker (UCMH, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",0,3.76,Pig & Bear Publishing,Kindle Edition,447,2022,2022,2024/11/13,2024/08/14,,,read,,,,1,0
